employee_id,full_name,gender,age,email,phone,department,designation,salary,bonus,experience,joining_date,last_promotion,city,state,country,zipcode,performance_score,attendance,is_active,project_count,manager,remarks
1001,John Smith,Male,28,john@gmail.com,9876543210,HR,Analyst,55000,5000.0,3,2022-01-15,2024-02-10,Mumbai,Maharashtra,India,400001,8.5,95,Yes,3.0,Rahul Sharma,Good Employee
1002, John Doe ,male,Thirty,johndoe@gmail,98765,hr,Data Analyst,"$45,000",,Five Years,15/02/2022,,mumbai,MH,IND,4000A,11.0,105,TRUE,, Amit , 
1003,Alice@@ Brown,F,-25,alice@@gmail.com,ABCDE12345,Human Resource,Developer,-25000,2500.0,-2,31/02/2023,2024/05/20,Pune,Maharashtra,india,411001,-5.0,-15,1,2.0,Suresh,Excellent
1004,Bob Lee,MALE,35,,999999999999,Finance,Manager,75k,6000.0,10 Years,"May 20, 2020",,Delhi,Delhi,INDIA,110001,9.2,98,Y,5.0,Priya,Promoted
1004,Bob Lee,MALE,35,,999999999999,Finance,Manager,75k,6000.0,10 Years,"May 20, 2020",,Delhi,Delhi,INDIA,110001,9.2,98,Y,5.0,Priya,Promoted
1006,John Smith,Male,28,john@gmail.com,9876543210,HR,Analyst,55000,5000.0,3,2022-01-15,2024-02-10,Mumbai,Maharashtra,India,400001,8.5,95,Yes,3.0,Rahul Sharma,Good Employee
1002, John Doe ,male,Thirty,johndoe@gmail,98765,hr,Data Analyst,"$45,000",,Five Years,15/02/2022,,mumbai,MH,IND,4000A,11.0,105,TRUE,, Amit , 
1008, John Doe ,male,Thirty,johndoe@gmail,98765,hr,Data Analyst,"$45,000",,Five Years,15/02/2022,,mumbai,MH,IND,4000A,11.0,105,TRUE,, Amit , 
1009,Bob Lee,MALE,35,,999999999999,Finance,Manager,75k,6000.0,10 Years,"May 20, 2020",,Delhi,Delhi,INDIA,110001,9.2,98,Y,5.0,Priya,Promoted
1010,Alice@@ Brown,F,-25,alice@@gmail.com,ABCDE12345,Human Resource,Developer,-25000,2500.0,-2,31/02/2023,2024/05/20,Pune,Maharashtra,india,411001,-5.0,-15,1,2.0,Suresh,Excellent
1011,Bob Lee,MALE,35,,999999999999,Finance,Manager,75k,6000.0,10 Years,"May 20, 2020",,Delhi,Delhi,INDIA,110001,9.2,98,Y,5.0,Priya,Promoted
1012,Bob Lee,MALE,35,,999999999999,Finance,Manager,75k,6000.0,10 Years,"May 20, 2020",,Delhi,Delhi,INDIA,110001,9.2,98,Y,5.0,Priya,Promoted
